"Line","Id","Ref","Tipo","Calculate"
"470","centroDirectivo.codigo-bind","centroDirectivo.codigo","centro-directivo-provincia","if ($provincializador = '05') then ('00015214') else if ($provincializador = '09') then ('..."
"475","centroDirectivo.descripcion-bind","centroDirectivo.descripcion","centro-directivo-provincia","if ($provincializador = '05') then ('GERENCIA PROV. DEL SERV. PUBL. DE EMPLEO DE ÃVILA') ..."
"506","datosBancarios-iban-bind","datosBancarios-iban","normalizar-nif-iban","replace(upper-case(.),'[^0-9A-Z]','')"
"537","datosEcono-ejercicio-bind","datosEcono-ejercicio","vaciar-si-dni-nie-no-autonomo","if (($documentoIdent-tipodoc='dni' or $documentoIdent-tipodoc='nie') and $documentoIdent-a..."
"542","datosEcono-nVolumen-bind","datosEcono-nVolumen","vaciar-si-dni-nie-no-autonomo","if (($documentoIdent-tipodoc='dni' or $documentoIdent-tipodoc='nie') and $documentoIdent-a..."
"547","datosEcono-nBalance-bind","datosEcono-nBalance","vaciar-si-dni-nie-no-autonomo","if (($documentoIdent-tipodoc='dni' or $documentoIdent-tipodoc='nie') and $documentoIdent-a..."
"553","datosEcono-numTrabajadores-bind","datosEcono-numTrabajadores","vaciar-si-dni-nie-no-autonomo","if (($documentoIdent-tipodoc='dni' or $documentoIdent-tipodoc='nie') and $documentoIdent-a..."
"557","datosEcono-tipoEmpresa-bind","datosEcono-tipoEmpresa","tamano-empresa","if ($datosEcono-numTrabajadores>=0 and $datosEcono-numTrabajadores<=9) then '3' else if ($..."
"567","vinculadas-apellido1-bind","vinculadas-apellido1","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"573","vinculadas-apellido2-bind","vinculadas-apellido2","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"578","vinculadas-nombre-bind","vinculadas-nombre","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"582","vinculadas-nif-bind","vinculadas-nif","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else for $id in replace(upp..."
"594","vinculadas-participacion-bind","vinculadas-participacion","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"601","vinculadas-domicilio-bind","vinculadas-domicilio","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"604","vinculadas-cPostal-bind","vinculadas-cPostal","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"612","vinculadas-provincia-bind","vinculadas-provincia","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"616","vinculadas-municipio-bind","vinculadas-municipio","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"620","vinculadas-cnae-bind","vinculadas-cnae","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"629","vinculadas-numeroTrabajadores-bind","vinculadas-numeroTrabajadores","vaciar-si-no-vinculadas","if ($otrosDatosEmpresa-vinculadas/string() ='false') then ('') else ."
"633","vinculadas-tipoEmpresa-bind","vinculadas-tipoEmpresa","otro","if ($vinculadas-numeroTrabajadores>=0 and $vinculadas-numeroTrabajadores<=9) then '3' else..."
"635","vinculadas-tipodoc-bind","vinculadas-tipodoc","inferir-tipo-documento","for $id in $vinculadas-nif return ( if (matches($id,'^\d{8}[TRWAGMYFPDXBNJZSQVHLCKE]$')) t..."
"646","agrupaciones-nombre-bind","agrupaciones-nombre","vaciar-segun-condicion","if ($control-spj/string() ='false') then ('') else ."
"653","agrupaciones-participacion-bind","agrupaciones-participacion","vaciar-segun-condicion","if ($control-spj/string() ='false') then ('') else ."
"660","agrupaciones-nif-bind","agrupaciones-nif","normalizar-nif-iban","if ($control-spj/string() ='false') then ('') else for $id in replace(upper-case(xxf:trim(..."
"699","prov05-bind","prov05","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='05'] )"
"702","prov09-bind","prov09","contador-provincia","count ( $centroTrabajo-provinciaCL[string()='09'] )"
